Immobilienart;Region;Zeitabschnitt;Anzahl_Mittel;Index_final
gebrauchte Eigenheime;4101;2000_1;249;
gebrauchte Eigenheime;4101;2000_2;178;111,6395738
gebrauchte Eigenheime;4101;2000_3;192;109,4967948
gebrauchte Eigenheime;4101;2000_4;97;109,5796491
gebrauchte Eigenheime;4101;2001_1;266;109,3968554
gebrauchte Eigenheime;4101;2001_2;204;107,1522879
gebrauchte Eigenheime;4101;2001_3;214;104,4587344
gebrauchte Eigenheime;4101;2001_4;128;105,0337248
gebrauchte Eigenheime;4101;2002_1;309;107,1507101
gebrauchte Eigenheime;4101;2002_2;231;107,0574099
gebrauchte Eigenheime;4101;2002_3;253;104,5105316
gebrauchte Eigenheime;4101;2002_4;263;103,8773468
gebrauchte Eigenheime;4101;2003_1;347;104,9969368
gebrauchte Eigenheime;4101;2003_2;321;104,4332778
gebrauchte Eigenheime;4101;2003_3;357;103,3793701
gebrauchte Eigenheime;4101;2003_4;326;102,7610234
gebrauchte Eigenheime;4101;2004_1;324;101,7503091
gebrauchte Eigenheime;4101;2004_2;349;100,7723967
gebrauchte Eigenheime;4101;2004_3;316;100,119151
gebrauchte Eigenheime;4101;2004_4;355;99,83371638
gebrauchte Eigenheime;4101;2005_1;255;101,1061781
gebrauchte Eigenheime;4101;2005_2;371;102,8348738
gebrauchte Eigenheime;4101;2005_3;416;102,5151453
gebrauchte Eigenheime;4101;2005_4;596,5;101,5548418
gebrauchte Eigenheime;4101;2006_1;174,5;100,3547769
gebrauchte Eigenheime;4101;2006_2;308;99,35634594
gebrauchte Eigenheime;4101;2006_3;314;98,70225398
gebrauchte Eigenheime;4101;2006_4;271;97,71888973
gebrauchte Eigenheime;4101;2007_1;247,5;98,3893744
gebrauchte Eigenheime;4101;2007_2;327;98,77640571
gebrauchte Eigenheime;4101;2007_3;314;97,33048965
gebrauchte Eigenheime;4101;2007_4;312;96,43569852
gebrauchte Eigenheime;4101;2008_1;336,5;97,03589297
gebrauchte Eigenheime;4101;2008_2;415;97,06024624
gebrauchte Eigenheime;4101;2008_3;387,5;96,2774884
gebrauchte Eigenheime;4101;2008_4;370,5;96,54227297
gebrauchte Eigenheime;4101;2009_1;344,5;97,71651875
gebrauchte Eigenheime;4101;2009_2;408;97,98874331
gebrauchte Eigenheime;4101;2009_3;362;98,06410939
gebrauchte Eigenheime;4101;2009_4;407,5;98,66024143
gebrauchte Eigenheime;4101;2010_1;359,6666667;100
gebrauchte Eigenheime;4101;2010_2;470;101,1539752
gebrauchte Eigenheime;4101;2010_3;472,6666667;102,1097973
gebrauchte Eigenheime;4101;2010_4;450;104,1807957
gebrauchte Eigenheime;4101;2011_1;375;105,7530241
gebrauchte Eigenheime;4101;2011_2;466;105,4915245
gebrauchte Eigenheime;4101;2011_3;490,5;105,0533745
gebrauchte Eigenheime;4101;2011_4;458;105,8417108
gebrauchte Eigenheime;4101;2012_1;526;108,160852
gebrauchte Eigenheime;4101;2012_2;570;110,3757995
gebrauchte Eigenheime;4101;2012_3;550,5;111,9065058
gebrauchte Eigenheime;4101;2012_4;555,5;112,8304745
gebrauchte Eigenheime;4101;2013_1;527,5;113,4766516
gebrauchte Eigenheime;4101;2013_2;553;114,5871441
gebrauchte Eigenheime;4101;2013_3;558;115,477871
gebrauchte Eigenheime;4101;2013_4;593;116,2297762
gebrauchte Eigenheime;4101;2014_1;470,5;118,3029512
gebrauchte Eigenheime;4101;2014_2;474;120,509656
gebrauchte Eigenheime;4101;2014_3;512,5;121,3196815
gebrauchte Eigenheime;4101;2014_4;455,5;122,1700236
gebrauchte Eigenheime;4101;2015_1;453,5;123,5022181
gebrauchte Eigenheime;4101;2015_2;472,5;125,5725453
gebrauchte Eigenheime;4101;2015_3;509,5;127,4161878
gebrauchte Eigenheime;4101;2015_4;522;128,1760259
gebrauchte Eigenheime;4101;2016_1;536;130,1583229
gebrauchte Eigenheime;4101;2016_2;618;132,6414982
gebrauchte Eigenheime;4101;2016_3;598;133,7478602
gebrauchte Eigenheime;4101;2016_4;595;134,799973
gebrauchte Eigenheime;4101;2017_1;567;137,10997
gebrauchte Eigenheime;4101;2017_2;631;141,3494127
gebrauchte Eigenheime;4101;2017_3;596;144,3776957
gebrauchte Eigenheime;4101;2017_4;588;147,2545431
gebrauchte Eigenheime;4101;2018_1;570;148,7979558
gebrauchte Eigenheime;4101;2018_2;569;151,1227782
gebrauchte Eigenheime;4101;2018_3;588;152,7353455
gebrauchte Eigenheime;4101;2018_4;477;
gebrauchte Eigenheime;4101;2019_1;;
gebrauchte Eigenheime;4101;2019_2;;
gebrauchte Eigenheime;4101;2019_3;;
gebrauchte Eigenheime;4101;2019_4;;
gebrauchte Eigenheime;4101;2020_1;;
