Immobilienart;Region;Zeitabschnitt;Anzahl_Gewichtung;Index_final
gebrauchte Eigenheime;4101;2000_1;1143;
gebrauchte Eigenheime;4101;2000_2;1037;111,640
gebrauchte Eigenheime;4101;2000_3;1037;109,497
gebrauchte Eigenheime;4101;2000_4;861;109,580
gebrauchte Eigenheime;4101;2001_1;1194;109,397
gebrauchte Eigenheime;4101;2001_2;1120;107,152
gebrauchte Eigenheime;4101;2001_3;1170;104,459
gebrauchte Eigenheime;4101;2001_4;905;105,034
gebrauchte Eigenheime;4101;2002_1;1115;107,151
gebrauchte Eigenheime;4101;2002_2;995;107,057
gebrauchte Eigenheime;4101;2002_3;1050;104,511
gebrauchte Eigenheime;4101;2002_4;1286;103,877
gebrauchte Eigenheime;4101;2003_1;922;104,997
gebrauchte Eigenheime;4101;2003_2;945;104,433
gebrauchte Eigenheime;4101;2003_3;1151;103,379
gebrauchte Eigenheime;4101;2003_4;1144;102,761
gebrauchte Eigenheime;4101;2004_1;795;101,750
gebrauchte Eigenheime;4101;2004_2;905;100,772
gebrauchte Eigenheime;4101;2004_3;902;100,119
gebrauchte Eigenheime;4101;2004_4;1114;99,834
gebrauchte Eigenheime;4101;2005_1;786;101,106
gebrauchte Eigenheime;4101;2005_2;1097;102,835
gebrauchte Eigenheime;4101;2005_3;1152;102,515
gebrauchte Eigenheime;4101;2005_4;1687;101,555
gebrauchte Eigenheime;4101;2006_1;593;100,355
gebrauchte Eigenheime;4101;2006_2;898;99,356
gebrauchte Eigenheime;4101;2006_3;987;98,702
gebrauchte Eigenheime;4101;2006_4;977;97,719
gebrauchte Eigenheime;4101;2007_1;833;98,389
gebrauchte Eigenheime;4101;2007_2;1133;98,776
gebrauchte Eigenheime;4101;2007_3;1000;97,330
gebrauchte Eigenheime;4101;2007_4;1028;96,436
gebrauchte Eigenheime;4101;2008_1;939;97,036
gebrauchte Eigenheime;4101;2008_2;1119;97,060
gebrauchte Eigenheime;4101;2008_3;1111;96,277
gebrauchte Eigenheime;4101;2008_4;1058;96,542
gebrauchte Eigenheime;4101;2009_1;974;97,717
gebrauchte Eigenheime;4101;2009_2;1184;97,989
gebrauchte Eigenheime;4101;2009_3;1145;98,064
