AGS;Geme_Bezeichnung;WOMA_ID
3462001;Blomberg;4101
3462002;Dunum;4101
3462003;Esens, Stadt;4101
3462004;Eversmeer;4101
3462005;Friedeburg;4101
3462006;Holtgast;4101
3462007;Langeoog;4110
3462008;Moorweg;4101
3462009;Nenndorf;4101
3462010;Neuharlingersiel;4101
3462011;Neuschoo;4101
3462012;Ochtersum;4101
3462013;Schweindorf;4101
3462014;Spiekeroog;4110
3462015;Stedesdorf;4101
3462016;Utarp;4101
3462017;Werdum;4101
3462018;Westerholt;4101
3462019;Wittmund, Stadt;4101
3461001;Berne;4101
3461002;Brake (Unterweser), Stadt;4101
3461003;Butjadingen;4101
3461004;Elsfleth, Stadt;4101
3461005;Jade;4101
3461006;Lemwerder;4104
3461007;Nordenham, Stadt;4101
3461008;Ovelgönne;4101
3461009;Stadland;4101
3460001;Bakum;4103
3460002;Damme, Stadt;4103
3460003;Dinklage, Stadt;4103
3460004;Goldenstedt;4103
3460005;Holdorf;4103
3460006;Lohne (Oldenburg), Stadt;4103
3460007;Neuenkirchen-Vörden;4103
3460008;Steinfeld (Oldenburg);4103
3460009;Vechta, Stadt;4103
3460010;Visbek;4103
3459001;Alfhausen;4103
3459002;Ankum;4103
3459003;Bad Essen;4103
3459004;Bad Iburg, Stadt;4103
3459005;Bad Laer;4103
3459006;Bad Rothenfelde;4103
3459007;Badbergen;4103
3459008;Belm;4203
3459009;Berge;4103
3459010;Bersenbrück, Stadt;4103
3459011;Bippen;4103
3459012;Bissendorf;4203
3459013;Bohmte;4103
3459014;Bramsche, Stadt;4103
3459015;Dissen am Teutoburger Wald, Stadt;4103
3459016;Eggermühlen;4103
3459017;Fürstenau, Stadt;4103
3459018;Gehrde;4103
3459019;Georgsmarienhütte, Stadt;4203
3459020;Hagen am Teutoburger Wald;4203
3459021;Hasbergen;4203
3459022;Hilter am Teutoburger Wald;4103
3459023;Kettenkamp;4103
3459024;Melle, Stadt;4103
3459025;Menslage;4103
3459026;Merzen;4103
3459027;Neuenkirchen;4103
