Immobilienart,Region,Zeitabschnitt,"Index final(Basis: 2010_1 = 100)"
gebrauchte Eigenheime,Küste u. weiteres Umland,2000_1,
gebrauchte Eigenheime,Küste u. weiteres Umland,2000_2,"111,64"
gebrauchte Eigenheime,Küste u. weiteres Umland,2000_3,"109,5"
gebrauchte Eigenheime,Küste u. weiteres Umland,2000_4,"109,58"
gebrauchte Eigenheime,Küste u. weiteres Umland,2001_1,"109,4"
gebrauchte Eigenheime,Küste u. weiteres Umland,2001_2,"107,15"
gebrauchte Eigenheime,Küste u. weiteres Umland,2001_3,"104,46"
gebrauchte Eigenheime,Küste u. weiteres Umland,2001_4,"105,03"
gebrauchte Eigenheime,Küste u. weiteres Umland,2002_1,"107,15"
gebrauchte Eigenheime,Küste u. weiteres Umland,2002_2,"107,06"
gebrauchte Eigenheime,Küste u. weiteres Umland,2002_3,"104,51"
gebrauchte Eigenheime,Küste u. weiteres Umland,2002_4,"103,88"
gebrauchte Eigenheime,Küste u. weiteres Umland,2003_1,105
gebrauchte Eigenheime,Küste u. weiteres Umland,2003_2,"104,43"
gebrauchte Eigenheime,Küste u. weiteres Umland,2003_3,"103,38"
gebrauchte Eigenheime,Küste u. weiteres Umland,2003_4,"102,76"
gebrauchte Eigenheime,Küste u. weiteres Umland,2004_1,"101,75"
gebrauchte Eigenheime,Küste u. weiteres Umland,2004_2,"100,77"
gebrauchte Eigenheime,Küste u. weiteres Umland,2004_3,"100,12"
gebrauchte Eigenheime,Küste u. weiteres Umland,2004_4,"99,83"
gebrauchte Eigenheime,Küste u. weiteres Umland,2005_1,"101,11"
gebrauchte Eigenheime,Küste u. weiteres Umland,2005_2,"102,83"
gebrauchte Eigenheime,Küste u. weiteres Umland,2005_3,"102,52"
gebrauchte Eigenheime,Küste u. weiteres Umland,2005_4,"101,55"
gebrauchte Eigenheime,Küste u. weiteres Umland,2006_1,"100,35"
gebrauchte Eigenheime,Küste u. weiteres Umland,2006_2,"99,36"
gebrauchte Eigenheime,Küste u. weiteres Umland,2006_3,"98,7"
gebrauchte Eigenheime,Küste u. weiteres Umland,2006_4,"97,72"
gebrauchte Eigenheime,Küste u. weiteres Umland,2007_1,"98,39"
gebrauchte Eigenheime,Küste u. weiteres Umland,2007_2,"98,78"
gebrauchte Eigenheime,Küste u. weiteres Umland,2007_3,"97,33"
gebrauchte Eigenheime,Küste u. weiteres Umland,2007_4,"96,44"
gebrauchte Eigenheime,Küste u. weiteres Umland,2008_1,"97,04"
gebrauchte Eigenheime,Küste u. weiteres Umland,2008_2,"97,06"
gebrauchte Eigenheime,Küste u. weiteres Umland,2008_3,"96,28"
gebrauchte Eigenheime,Küste u. weiteres Umland,2008_4,"96,54"
gebrauchte Eigenheime,Küste u. weiteres Umland,2009_1,"97,72"
gebrauchte Eigenheime,Küste u. weiteres Umland,2009_2,"97,99"
gebrauchte Eigenheime,Küste u. weiteres Umland,2009_3,"98,06"
gebrauchte Eigenheime,Küste u. weiteres Umland,2009_4,"98,66"
gebrauchte Eigenheime,Küste u. weiteres Umland,2010_1,100
gebrauchte Eigenheime,Küste u. weiteres Umland,2010_2,"101,15"
gebrauchte Eigenheime,Küste u. weiteres Umland,2010_3,"102,11"
gebrauchte Eigenheime,Küste u. weiteres Umland,2010_4,"104,18"
gebrauchte Eigenheime,Küste u. weiteres Umland,2011_1,"105,75"
gebrauchte Eigenheime,Küste u. weiteres Umland,2011_2,"105,49"
gebrauchte Eigenheime,Küste u. weiteres Umland,2011_3,"105,05"
gebrauchte Eigenheime,Küste u. weiteres Umland,2011_4,"105,84"
gebrauchte Eigenheime,Küste u. weiteres Umland,2012_1,"108,16"
gebrauchte Eigenheime,Küste u. weiteres Umland,2012_2,"110,38"
gebrauchte Eigenheime,Küste u. weiteres Umland,2012_3,"111,91"
gebrauchte Eigenheime,Küste u. weiteres Umland,2012_4,"112,83"
gebrauchte Eigenheime,Küste u. weiteres Umland,2013_1,"113,48"
gebrauchte Eigenheime,Küste u. weiteres Umland,2013_2,"114,59"
gebrauchte Eigenheime,Küste u. weiteres Umland,2013_3,"115,48"
gebrauchte Eigenheime,Küste u. weiteres Umland,2013_4,"116,23"
gebrauchte Eigenheime,Küste u. weiteres Umland,2014_1,"118,3"
gebrauchte Eigenheime,Küste u. weiteres Umland,2014_2,"120,51"
gebrauchte Eigenheime,Küste u. weiteres Umland,2014_3,"121,32"
gebrauchte Eigenheime,Küste u. weiteres Umland,2014_4,"122,17"
gebrauchte Eigenheime,Küste u. weiteres Umland,2015_1,"123,5"
gebrauchte Eigenheime,Küste u. weiteres Umland,2015_2,"125,57"
gebrauchte Eigenheime,Küste u. weiteres Umland,2015_3,"127,42"
gebrauchte Eigenheime,Küste u. weiteres Umland,2015_4,"128,18"
gebrauchte Eigenheime,Küste u. weiteres Umland,2016_1,"130,16"
gebrauchte Eigenheime,Küste u. weiteres Umland,2016_2,"132,64"
gebrauchte Eigenheime,Küste u. weiteres Umland,2016_3,"133,75"
gebrauchte Eigenheime,Küste u. weiteres Umland,2016_4,"134,8"
gebrauchte Eigenheime,Küste u. weiteres Umland,2017_1,"137,11"
gebrauchte Eigenheime,Küste u. weiteres Umland,2017_2,"141,35"
gebrauchte Eigenheime,Küste u. weiteres Umland,2017_3,"144,38"
gebrauchte Eigenheime,Küste u. weiteres Umland,2017_4,"147,25"
gebrauchte Eigenheime,Küste u. weiteres Umland,2018_1,"148,8"
gebrauchte Eigenheime,Küste u. weiteres Umland,2018_2,"151,12"
gebrauchte Eigenheime,Küste u. weiteres Umland,2018_3,
gebrauchte Eigenheime,Küste u. weiteres Umland,2018_4,
gebrauchte Eigenheime,Küste u. weiteres Umland,2019_1,
gebrauchte Eigenheime,Küste u. weiteres Umland,2019_2,
gebrauchte Eigenheime,Küste u. weiteres Umland,2019_3,
gebrauchte Eigenheime,Küste u. weiteres Umland,2019_4,
gebrauchte Eigenheime,Küste u. weiteres Umland,2020_1,
gebrauchte Eigenheime,Küste u. weiteres Umland,2020_2,
gebrauchte Eigenheime,Küste u. weiteres Umland,2020_3,
gebrauchte Eigenheime,Küste u. weiteres Umland,2020_4,
gebrauchte Eigenheime,Küste u. weiteres Umland,2021_1,
gebrauchte Eigenheime,Küste u. weiteres Umland,2021_2,
gebrauchte Eigenheime,Küste u. weiteres Umland,2021_3,
gebrauchte Eigenheime,Küste u. weiteres Umland,2021_4,
gebrauchte Eigenheime,Westliches Niedersachsen,2000_1,
gebrauchte Eigenheime,Westliches Niedersachsen,2000_2,"106,76"
gebrauchte Eigenheime,Westliches Niedersachsen,2000_3,"106,83"
gebrauchte Eigenheime,Westliches Niedersachsen,2000_4,"106,46"
gebrauchte Eigenheime,Westliches Niedersachsen,2001_1,"106,93"
gebrauchte Eigenheime,Westliches Niedersachsen,2001_2,"105,41"
gebrauchte Eigenheime,Westliches Niedersachsen,2001_3,"102,76"
gebrauchte Eigenheime,Westliches Niedersachsen,2001_4,"103,7"
gebrauchte Eigenheime,Westliches Niedersachsen,2002_1,"105,06"
gebrauchte Eigenheime,Westliches Niedersachsen,2002_2,"102,34"
gebrauchte Eigenheime,Westliches Niedersachsen,2002_3,"99,96"
gebrauchte Eigenheime,Westliches Niedersachsen,2002_4,"100,92"
gebrauchte Eigenheime,Westliches Niedersachsen,2003_1,"101,56"
gebrauchte Eigenheime,Westliches Niedersachsen,2003_2,"101,86"
gebrauchte Eigenheime,Westliches Niedersachsen,2003_3,"100,96"
gebrauchte Eigenheime,Westliches Niedersachsen,2003_4,"100,14"
gebrauchte Eigenheime,Westliches Niedersachsen,2004_1,"100,69"
gebrauchte Eigenheime,Westliches Niedersachsen,2004_2,"99,29"
gebrauchte Eigenheime,Westliches Niedersachsen,2004_3,"98,23"
gebrauchte Eigenheime,Westliches Niedersachsen,2004_4,"98,28"
gebrauchte Eigenheime,Westliches Niedersachsen,2005_1,"98,81"
gebrauchte Eigenheime,Westliches Niedersachsen,2005_2,"99,76"
gebrauchte Eigenheime,Westliches Niedersachsen,2005_3,"98,79"
gebrauchte Eigenheime,Westliches Niedersachsen,2005_4,"98,52"
gebrauchte Eigenheime,Westliches Niedersachsen,2006_1,"100,79"
gebrauchte Eigenheime,Westliches Niedersachsen,2006_2,"102,36"
gebrauchte Eigenheime,Westliches Niedersachsen,2006_3,"101,38"
gebrauchte Eigenheime,Westliches Niedersachsen,2006_4,"100,54"
gebrauchte Eigenheime,Westliches Niedersachsen,2007_1,"100,13"
gebrauchte Eigenheime,Westliches Niedersachsen,2007_2,"99,88"
gebrauchte Eigenheime,Westliches Niedersachsen,2007_3,"100,54"
gebrauchte Eigenheime,Westliches Niedersachsen,2007_4,"100,41"
gebrauchte Eigenheime,Westliches Niedersachsen,2008_1,"98,87"
gebrauchte Eigenheime,Westliches Niedersachsen,2008_2,"98,46"
gebrauchte Eigenheime,Westliches Niedersachsen,2008_3,"99,2"
gebrauchte Eigenheime,Westliches Niedersachsen,2008_4,"99,56"
gebrauchte Eigenheime,Westliches Niedersachsen,2009_1,"99,85"
gebrauchte Eigenheime,Westliches Niedersachsen,2009_2,"100,38"
gebrauchte Eigenheime,Westliches Niedersachsen,2009_3,"99,84"
gebrauchte Eigenheime,Westliches Niedersachsen,2009_4,"98,67"
gebrauchte Eigenheime,Westliches Niedersachsen,2010_1,100
gebrauchte Eigenheime,Westliches Niedersachsen,2010_2,"102,41"
gebrauchte Eigenheime,Westliches Niedersachsen,2010_3,"103,36"
gebrauchte Eigenheime,Westliches Niedersachsen,2010_4,"102,92"
gebrauchte Eigenheime,Westliches Niedersachsen,2011_1,"102,86"
gebrauchte Eigenheime,Westliches Niedersachsen,2011_2,"102,74"
gebrauchte Eigenheime,Westliches Niedersachsen,2011_3,"102,3"
gebrauchte Eigenheime,Westliches Niedersachsen,2011_4,"102,91"
gebrauchte Eigenheime,Westliches Niedersachsen,2012_1,"103,78"
gebrauchte Eigenheime,Westliches Niedersachsen,2012_2,"104,32"
gebrauchte Eigenheime,Westliches Niedersachsen,2012_3,"105,72"
gebrauchte Eigenheime,Westliches Niedersachsen,2012_4,"106,86"
gebrauchte Eigenheime,Westliches Niedersachsen,2013_1,"107,54"
gebrauchte Eigenheime,Westliches Niedersachsen,2013_2,"108,35"
gebrauchte Eigenheime,Westliches Niedersachsen,2013_3,"109,3"
gebrauchte Eigenheime,Westliches Niedersachsen,2013_4,"110,36"
gebrauchte Eigenheime,Westliches Niedersachsen,2014_1,"110,88"
gebrauchte Eigenheime,Westliches Niedersachsen,2014_2,"111,82"
gebrauchte Eigenheime,Westliches Niedersachsen,2014_3,"112,86"
gebrauchte Eigenheime,Westliches Niedersachsen,2014_4,"112,36"
gebrauchte Eigenheime,Westliches Niedersachsen,2015_1,"113,29"
gebrauchte Eigenheime,Westliches Niedersachsen,2015_2,"115,53"
gebrauchte Eigenheime,Westliches Niedersachsen,2015_3,"116,77"
gebrauchte Eigenheime,Westliches Niedersachsen,2015_4,"117,4"
gebrauchte Eigenheime,Westliches Niedersachsen,2016_1,"118,98"
gebrauchte Eigenheime,Westliches Niedersachsen,2016_2,121
gebrauchte Eigenheime,Westliches Niedersachsen,2016_3,"121,71"
gebrauchte Eigenheime,Westliches Niedersachsen,2016_4,"122,08"
gebrauchte Eigenheime,Westliches Niedersachsen,2017_1,"123,34"
gebrauchte Eigenheime,Westliches Niedersachsen,2017_2,"126,76"
gebrauchte Eigenheime,Westliches Niedersachsen,2017_3,"129,03"
gebrauchte Eigenheime,Westliches Niedersachsen,2017_4,"131,09"
gebrauchte Eigenheime,Westliches Niedersachsen,2018_1,"132,92"
gebrauchte Eigenheime,Westliches Niedersachsen,2018_2,"135,79"
gebrauchte Eigenheime,Westliches Niedersachsen,2018_3,
gebrauchte Eigenheime,Westliches Niedersachsen,2018_4,
gebrauchte Eigenheime,Westliches Niedersachsen,2019_1,
gebrauchte Eigenheime,Westliches Niedersachsen,2019_2,
gebrauchte Eigenheime,Westliches Niedersachsen,2019_3,
gebrauchte Eigenheime,Westliches Niedersachsen,2019_4,
gebrauchte Eigenheime,Westliches Niedersachsen,2020_1,
gebrauchte Eigenheime,Westliches Niedersachsen,2020_2,
gebrauchte Eigenheime,Westliches Niedersachsen,2020_3,
gebrauchte Eigenheime,Westliches Niedersachsen,2020_4,
gebrauchte Eigenheime,Westliches Niedersachsen,2021_1,
gebrauchte Eigenheime,Westliches Niedersachsen,2021_2,
gebrauchte Eigenheime,Westliches Niedersachsen,2021_3,
gebrauchte Eigenheime,Westliches Niedersachsen,2021_4,
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2000_1,
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2000_2,"106,08"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2000_3,"104,01"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2000_4,"102,4"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2001_1,"102,96"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2001_2,"103,14"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2001_3,"103,32"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2001_4,"103,59"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2002_1,"103,36"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2002_2,103
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2002_3,"102,56"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2002_4,"103,11"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2003_1,"103,55"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2003_2,"102,63"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2003_3,"102,34"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2003_4,"102,86"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2004_1,"102,73"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2004_2,"100,7"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2004_3,"99,55"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2004_4,"100,27"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2005_1,"102,4"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2005_2,"104,08"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2005_3,"102,49"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2005_4,"100,6"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2006_1,"100,19"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2006_2,"100,59"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2006_3,"99,43"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2006_4,"98,94"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2007_1,"99,22"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2007_2,"98,63"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2007_3,"97,86"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2007_4,"97,58"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2008_1,"98,28"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2008_2,"98,63"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2008_3,"97,55"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2008_4,"96,68"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2009_1,"97,61"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2009_2,"98,38"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2009_3,"98,74"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2009_4,"99,51"
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2010_1,100
gebrauchte Eigenheime,Oldenburg - Münsterland - Osnabrück,2010_2,"101,41"
