Immobilienart	Region	Zeitabschnitt	Anzahl Mittel aus 10Jahresscheiben	Index final(Basis: 2010_1 = 100)
gebrauchte Eigenheime	4101	2000_1	249,0	
gebrauchte Eigenheime	4101	2000_2	178,0	111,64
gebrauchte Eigenheime	4101	2000_3	192,0	109,50
gebrauchte Eigenheime	4101	2000_4	97,0	109,58
gebrauchte Eigenheime	4101	2001_1	266,0	109,40
gebrauchte Eigenheime	4101	2001_2	204,0	107,15
gebrauchte Eigenheime	4101	2001_3	214,0	104,46
gebrauchte Eigenheime	4101	2001_4	128,0	105,03
gebrauchte Eigenheime	4101	2002_1	309,0	107,15
gebrauchte Eigenheime	4101	2002_2	231,0	107,06
gebrauchte Eigenheime	4101	2002_3	253,0	104,51
gebrauchte Eigenheime	4101	2002_4	263,0	103,88
gebrauchte Eigenheime	4101	2003_1	347,0	105,00
gebrauchte Eigenheime	4101	2003_2	321,0	104,43
gebrauchte Eigenheime	4101	2003_3	357,0	103,38
gebrauchte Eigenheime	4101	2003_4	326,0	102,76
gebrauchte Eigenheime	4101	2004_1	324,0	101,75
gebrauchte Eigenheime	4101	2004_2	349,0	100,77
gebrauchte Eigenheime	4101	2004_3	316,0	100,12
gebrauchte Eigenheime	4101	2004_4	355,0	99,83
gebrauchte Eigenheime	4101	2005_1	255,0	101,11
gebrauchte Eigenheime	4101	2005_2	371,0	102,83
gebrauchte Eigenheime	4101	2005_3	416,0	102,52
gebrauchte Eigenheime	4101	2005_4	596,5	101,55
gebrauchte Eigenheime	4101	2006_1	174,5	100,35
gebrauchte Eigenheime	4101	2006_2	308,0	99,36
gebrauchte Eigenheime	4101	2006_3	314,0	98,70
gebrauchte Eigenheime	4101	2006_4	271,0	97,72
gebrauchte Eigenheime	4101	2007_1	247,5	98,39
gebrauchte Eigenheime	4101	2007_2	327,0	98,78
gebrauchte Eigenheime	4101	2007_3	314,0	97,33
gebrauchte Eigenheime	4101	2007_4	312,0	96,44
gebrauchte Eigenheime	4101	2008_1	336,5	97,04
gebrauchte Eigenheime	4101	2008_2	415,0	97,06
